tag,gt_x,gt_y,gt_z,min_x,min_y,min_z,topk_x,topk_y,topk_z,err_hard,err_raw,err_topk,cos_gt,margin,at_boundary,gt_outside_grid,e_min,e_max
t_az135_el20_nx_p0,-0.0556,-0.0,-0.0053,0.0,-0.02,0.02,0.0044,-0.0289,0.0056,0.0643,0.0643,0.0675,-0.067,2.251,0,0,0.3814,0.4212
t_az135_el20_nx_p1,-0.0555,0.0,-0.0043,0.02,-0.06,0.0,0.0122,-0.0461,0.0072,0.0965,0.0965,0.0827,-0.316,2.17,0,0,0.3895,0.4327
t_az135_el20_nx_p2,-0.0557,-0.0,-0.0046,0.0,-0.02,0.0,0.0083,-0.0344,0.0044,0.0594,0.0594,0.0733,0.0,2.866,0,0,0.3897,0.4338
t_az135_el20_ny_p0,-0.0004,-0.0556,-0.0067,0.02,0.02,0.0,0.0206,0.0206,0.0072,0.0786,0.0786,0.0802,-0.707,2.439,0,0,0.3794,0.4211
t_az135_el20_ny_p1,-0.0011,-0.0557,-0.0077,0.0,0.04,0.0,0.0194,0.0244,0.0089,0.096,0.096,0.0844,-0.99,2.71,0,0,0.3976,0.4458
t_az135_el20_ny_p2,0.0001,-0.0557,-0.0077,0.0,0.04,0.0,0.0217,0.025,0.0039,0.096,0.096,0.0843,-0.991,2.329,0,0,0.3941,0.4413
t_az135_el20_nz_p0,-0.0011,-0.0001,-0.0622,0.0,0.0,-0.04,0.0128,-0.0061,-0.0261,0.0222,0.0222,0.0391,1.0,2.619,0,0,0.3777,0.4174
t_az135_el20_nz_p1,-0.0012,-0.0001,-0.0615,0.0,0.0,-0.02,0.0094,-0.0083,-0.0156,0.0415,0.0415,0.0479,1.0,2.755,0,0,0.3882,0.424
t_az135_el20_nz_p2,-0.0015,-0.0001,-0.0627,0.0,0.02,-0.04,0.0128,-0.0006,-0.0367,0.0304,0.0304,0.0297,0.893,2.786,0,0,0.3958,0.4316
t_az135_el20_px_p0,0.0546,-0.0002,-0.0075,0.0,0.04,0.0,0.0122,0.0356,-0.0033,0.0682,0.0682,0.0556,-0.003,2.892,0,0,0.3905,0.4319
