subgoal,step,energy,dist_to_goal_m,dx,dy,dz,dgrip,rdx,rdy,rdz,track_err_m,ik_pos_err,action_ok,ee_x,ee_y,ee_z,cem_time_s,reached
0,0,0.50747,0.1,0.0743,0.0611,0.0307,0.0,0.0692,0.0563,0.0212,0.0118,0.0,1,0.5545,-0.0,0.4687,4.343,0
0,1,0.41955,0.0676,0.0244,-0.0208,0.0034,0.0,0.0231,-0.0195,-0.0055,0.009,0.0003,1,0.6237,0.0563,0.4899,4.173,0
0,2,0.39492,0.0408,-0.002,-0.0175,0.0025,0.0,-0.0015,-0.0164,-0.006,0.0086,0.0002,1,0.6468,0.0368,0.4844,4.159,0
1,0,0.43495,0.0807,0.0223,0.0585,-0.0178,0.0,0.0207,0.0538,-0.0258,0.0094,0.0007,1,0.6453,0.0204,0.4784,4.173,0
1,1,0.39454,0.0325,-0.0285,0.0075,0.0011,0.0,-0.0257,0.0069,-0.007,0.0087,0.0001,1,0.666,0.0742,0.4526,4.202,0
1,2,0.33126,0.0331,0.0003,0.0089,0.0046,0.0,0.0,0.0079,-0.0043,0.009,0.0003,1,0.6402,0.0811,0.4455,4.19,0
1,3,0.31851,0.0328,-0.0002,0.0035,0.0103,0.0,-0.0006,0.003,0.0008,0.0095,0.0005,1,0.6403,0.089,0.4412,4.199,0
1,4,0.35543,0.0315,-0.0064,0.0026,0.0085,0.0,-0.006,0.0022,-0.0005,0.009,0.0001,1,0.6397,0.092,0.442,4.182,0
1,5,0.36082,0.0347,-0.0039,0.006,0.0065,0.0,-0.0037,0.0053,-0.0023,0.0089,0.0001,1,0.6338,0.0942,0.4415,4.182,0
1,6,0.37048,0.0383,-0.0056,0.0027,0.0132,0.0,-0.0053,0.0022,0.0039,0.0093,0.0003,1,0.6301,0.0994,0.4392,4.191,0
1,7,0.37536,0.0392,-0.0045,-0.0011,0.0138,0.0,-0.0043,-0.0013,0.0045,0.0093,0.0004,1,0.6248,0.1017,0.4431,4.193,0
1,8,0.37605,0.04,-0.0052,-0.0005,0.0103,0.0,-0.0047,-0.0007,0.0015,0.0088,0.0002,1,0.6205,0.1004,0.4477,4.197,0
1,9,0.37588,0.0433,-0.0079,0.0041,0.0125,0.0,-0.0071,0.0035,0.0036,0.0089,0.0002,1,0.6158,0.0997,0.4491,4.181,0
1,10,0.37969,0.0486,-0.0058,-0.001,0.009,0.0,-0.0052,-0.0011,0.0005,0.0085,0.0001,1,0.6087,0.1033,0.4528,4.201,0
1,11,0.37391,0.0533,-0.0068,-0.001,0.0083,0.0,-0.006,-0.0011,0.0,0.0083,0.0001,1,0.6036,0.1021,0.4533,4.193,0
1,12,0.37696,0.059,-0.0065,-0.0015,0.0081,0.0,-0.0058,-0.0016,-0.0,0.0082,0.0001,1,0.5975,0.101,0.4533,4.205,0
1,13,0.36557,0.0646,-0.0078,0.0014,0.0108,0.0,-0.007,0.0011,0.0025,0.0083,0.0001,1,0.5917,0.0994,0.4533,4.191,0
1,14,0.35705,0.071,-0.0002,-0.0084,0.0039,0.0,-0.0,-0.008,-0.0038,0.0077,0.0001,1,0.5847,0.1005,0.4558,4.207,0
